business_id,user_id,text,date,sentiment
aAXo_vX8YG10kytAM9SC9Q,yyCUUIqUbfNSrj8fuiAjNg,looooove this spot such a welcoming staff and the ice cream is amazing,2021-03-19,Positive
DVBJRvnCpkqaYl6nHroaMg,bZEkd1vqpnM_VxKUZRklUg,great food fresh and delicious i have enjoyed every dish ive eaten off the menu,2021-03-15,Positive
aAXo_vX8YG10kytAM9SC9Q,TB8gQ1U5A8CeT0sh-5XMkA,double chocolate coconut ice cream dairy free yum,2021-02-05,Positive
1YflE3DkiCZGgLnf3paLnA,FUqUujaxQ8MlqhnBNHEaAg,it real big many pokestops,2021-01-30,Positive
jh8j-DWqgWkbRe_a2XtKFQ,MtAdG56EjouwmcT9QsLIow,fantastic bread great selection completely local,2021-01-29,Positive
DVBJRvnCpkqaYl6nHroaMg,u8Bi3INgPormGCDFEK_4ig,great vegan and vegetarian option vibrant plate full of fresh and delicious food,2021-01-11,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,bicLO2EZxyVSL-WQ7EauPg,never disappoints best pizza in town i love the salad and dressing too,2020-12-23,Positive
jh8j-DWqgWkbRe_a2XtKFQ,juigu8XxwzLAeikeBzULbg,today i bought the last they had,2020-11-25,Positive
jh8j-DWqgWkbRe_a2XtKFQ,qsG9OeumFbYmKxucjB5wXQ,amazing,2020-10-09,Positive
aAXo_vX8YG10kytAM9SC9Q,jKWyknXt1txtv7VjFmHqrA,wondering service and great ice cream staff are always great,2020-10-05,Positive
aAXo_vX8YG10kytAM9SC9Q,L_808zrDI77xFE9kYjRRBQ,so good,2020-09-26,Positive
1YflE3DkiCZGgLnf3paLnA,fv6j8YEqnY2R0JYOmq6XaQ,paddle boat are a fun way to spend a lazy afternoon with friend,2020-08-30,Positive
slO-qEE0z8-BLRTvMYW6HA,QnsfC2V3j99G6zGcIfAfFw,excellent call to get grape leaf otherwise perfect,2020-08-30,Positive
jh8j-DWqgWkbRe_a2XtKFQ,nIIl9iBGB8GRAfsQS43M7g,it the best bread ive ever had made with love and compassion,2020-07-29,Positive
1YflE3DkiCZGgLnf3paLnA,lMY8NBPyzlPbbu-KBYfD9A,keep yourself others safe,2020-07-27,Positive
1YflE3DkiCZGgLnf3paLnA,w2mMA46h99qM3L1xKqOG1g,this is my place of peace and rest various outside activity are available,2020-07-23,Positive
8q25GCkL0PngPIlCu2j4Vw,Hjo4QlPCAKLHYpCM7L_hqw,is a hidden gem,2020-06-18,Positive
jh8j-DWqgWkbRe_a2XtKFQ,diafZeLYFeweIsWHr9VsWw,best bread in tucson must have,2020-06-14,Positive
aAXo_vX8YG10kytAM9SC9Q,Pr27KU0oGLTDFV4fWTIV0A,amazing place,2020-03-07,Positive
8q25GCkL0PngPIlCu2j4Vw,1r65co2LZL9ZNKgy_1CeUw,great coffee place good people which they j more food option,2020-02-01,Positive
slO-qEE0z8-BLRTvMYW6HA,S-4XDyJcJhmV2NbS4hV1AQ,amazing falafel,2019-09-28,Positive
BXXdejmA_rJpMD2MBKCyGA,J-JPfKLtVGuhylhCu5ZEwg,they give free tour and the guide make it fun and interesting,2019-08-10,Positive
slO-qEE0z8-BLRTvMYW6HA,VtvuD-f0OyUIjcLcbPEaLg,this is the best hummus you will ever eat all the other food is amazing too,2019-06-16,Positive
zxIF-bnaJ-eKIsznB7yu7A,fAZTE13rzFqv-gZodwmdZA,fun tour and very informative,2019-05-20,Positive
aAXo_vX8YG10kytAM9SC9Q,BjLLtoMq9NspSt3oCzruJA,phone dying no problem bring your charger they have multiple outlet,2019-04-21,Negative
jh8j-DWqgWkbRe_a2XtKFQ,jcIVs2lAC5a8Jw9jtgwlRw,g o a t bread maker,2019-03-17,Positive
zxIF-bnaJ-eKIsznB7yu7A,H1kmY1z-ju0W5vEWMKaIeQ,get alec for a ghost tour if you can the most incredible tour guide i have experienced in my life,2019-03-14,Negative
jh8j-DWqgWkbRe_a2XtKFQ,O2AHfPpArnDxIGzEguOrQA,simply the best bread and heartfelt service dont miss this,2019-02-28,Positive
aAXo_vX8YG10kytAM9SC9Q,DCyfpizMUfDKeCVThmlH0Q,peanut butter oreo ice cream is amazing staff is always friendly,2019-02-16,Positive
jh8j-DWqgWkbRe_a2XtKFQ,h45v4Is6UC0dFCzibaW0pg,the very best bread ever,2019-01-13,Positive
1YflE3DkiCZGgLnf3paLnA,0tvCcnfJnSs55iB6mqPk3w,did you know that forest park get more annual visitor than gateway arch national park and busch stadium combined reference,2018-10-10,Positive
1YflE3DkiCZGgLnf3paLnA,0tvCcnfJnSs55iB6mqPk3w,in reader of usa today voted forest park the city park in the united state reference,2018-10-09,Positive
1YflE3DkiCZGgLnf3paLnA,0tvCcnfJnSs55iB6mqPk3w,map and directory of forest park,2018-10-07,Positive
slO-qEE0z8-BLRTvMYW6HA,l36NRosl--sJ2kO-op5RRw,amazing vegan food best thus far in south tampa,2018-08-12,Positive
slO-qEE0z8-BLRTvMYW6HA,OvJfJ2f5DLSnuwwXxWZYig,best mediterranean in town,2018-08-09,Positive
zxIF-bnaJ-eKIsznB7yu7A,jHS_tvtLjcIPSeiJa_xCtw,alec wa the best ghost tour guide he truly is so excited to tell the most interesting ghost story of new orleans,2018-06-08,Positive
zxIF-bnaJ-eKIsznB7yu7A,7RmhDJUkj0yhDVbdAhvMfg,schedule alec for tour tour he the best,2018-06-05,Positive
BXXdejmA_rJpMD2MBKCyGA,1vkqcmbrF7a03LKtfCso8g,beautiful check this place out it is amazing,2018-04-15,Positive
zxIF-bnaJ-eKIsznB7yu7A,8Me0QYZ6Jm2-JqtwsWmhYQ,another endorsement for the voodoo tour with robi,2018-04-03,Positive
1YflE3DkiCZGgLnf3paLnA,8t1y60g0unMl8PEP7GLDVQ,look for lot i do think some of the venue have parking that they charge for there are plenty of free lot around the area if you dont mind walking,2017-12-19,Positive
zxIF-bnaJ-eKIsznB7yu7A,YDCIa3Ba0khPG4dhyMNMzQ,the voodoo tour wa great very entertaining and informative loved it,2017-10-26,Positive
xkWhyrBL0i_P8YdXGJ2iUg,cm49LTRc8n4qqUFWXqiG2Q,great time very nice and educational ride lee ann wa wonderful,2017-07-06,Positive
1YflE3DkiCZGgLnf3paLnA,ZjFYSIQRLsFATu1qYC3hmQ,this park is amazing,2017-05-13,Positive
zxIF-bnaJ-eKIsznB7yu7A,KdHO3srGzrtuW212Ifirsg,elizabeth d is fantastic make sure you bring cash for a tip person is the going rate for tour in nola or if you use a credit card on the square phone app they said they would put in the amount they thought they were worth,2017-03-17,Positive
zxIF-bnaJ-eKIsznB7yu7A,EYHqEacohnvBTKfSTpDe_Q,sign up do it at least one of them,2016-12-30,Positive
zxIF-bnaJ-eKIsznB7yu7A,gfR80SvOyWL45S8vPMZxNw,voodoo tour with robi wa amazing,2016-05-22,Positive
zxIF-bnaJ-eKIsznB7yu7A,peBQYndSfgUPR96bNQsbHA,book a tour a soon a possible they will all fill up day in advance,2015-12-28,Positive
xkWhyrBL0i_P8YdXGJ2iUg,M9puGD3VU5FuhE60HklCvg,bike condition vary and i hope you like dive bar for the beverage stop but the history tidbit are interesting and the route pass some nice opportunity,2015-03-19,Positive
BXXdejmA_rJpMD2MBKCyGA,cRt0608EYB1iuKxbTg8h0A,one of largest mosaic containing million piece of glass that took a century to create,2015-03-06,Positive
BXXdejmA_rJpMD2MBKCyGA,5v6juPIOisfmogp7QSso-A,very pretty inside definitely worth a peek if you are in the neighborhood,2014-07-17,Positive
xkWhyrBL0i_P8YdXGJ2iUg,omiEVL_Mp9xrozmyAkQcLw,highly recommend at the beginning of your trip we loved our guide nick,2014-05-19,Positive
xkWhyrBL0i_P8YdXGJ2iUg,omiEVL_Mp9xrozmyAkQcLw,highly recommend the creole tour our guide wa nick and he wa fantastic he offer great tip on where to go during your visit and ha so much knowledge about the city you know he really love his job and it make the tour wonderful too,2014-05-19,Positive
xkWhyrBL0i_P8YdXGJ2iUg,BmvhI6q1fk8oNSnxCpOgug,bike your wa awesome out of we loved it cassady rock,2014-04-26,Positive
xkWhyrBL0i_P8YdXGJ2iUg,-mhugkgHSydkWOFC6VU8iw,cassady is,2014-04-03,Positive
xkWhyrBL0i_P8YdXGJ2iUg,AaaxbJhAOjOig0dwWNS8dg,youll need cash for the tour tip and to buy yourself that aforementioned bloody mary or soda a small bottle of water is provided,2014-03-28,Negative
BXXdejmA_rJpMD2MBKCyGA,b-v0kiRnyLeQ05qTBcGQIQ,one of the most beautiful structure ive ever seen if you drive parking can be tricky,2013-09-15,Positive
xkWhyrBL0i_P8YdXGJ2iUg,2d5aJsA4Kuq5Q4CDq7Fj-Q,love love love wonderful folk fascinating information amazing bike tour i am going to recommend confederacy of cruiser to every single one of my friend could not have imagined a better way to spend hour,2013-07-08,Positive
xkWhyrBL0i_P8YdXGJ2iUg,HKjRVQiv95HXXeVaInOB5A,eat breakfast beforehand cash or check best tour you can take in nola a treasure trove of information remember to tip your guide,2013-02-21,Positive
BXXdejmA_rJpMD2MBKCyGA,M0yqnPWLKDiQHm7dH8azWQ,definitely worth a visit mosaic are brilliant,2012-09-02,Positive
BXXdejmA_rJpMD2MBKCyGA,KVN1eio-4QU3zlkPmZHRFQ,not notre dame but quite impressive,2012-08-14,Positive
BXXdejmA_rJpMD2MBKCyGA,bewibJ_Q_0j7VA-c3ThERg,beautiful,2012-07-02,Positive
BXXdejmA_rJpMD2MBKCyGA,Frxn4KN4hw2m4fL3Ud0OPw,a little europe in stl,2012-05-27,Positive
BXXdejmA_rJpMD2MBKCyGA,YnKfyDwUtze7RYSrnI4jVw,fish fry at hall plate,2012-03-02,Positive
xkWhyrBL0i_P8YdXGJ2iUg,f3W3LHyX2GjY8xewDk0w8A,get the bloody mary,2011-11-23,Negative
GBTPC53ZrG1ZBY3DT8Mbcw,19rzqeCTj2ZWXerKziUvlw,the service is very slow took forever and what is it with the water,2022-01-19,Positive
k-tHn9uxgWdq1ROHqwc-lw,vjLQ8F8opdDXGyXISRnuYQ,great seafood,2022-01-18,Positive
3qgz5OPfl7CRa3igH4s1Sg,BNgrMVtJnxcXjiE0G09HCw,just the cutest darn coffee shop in east nashville good coffee and solid breakfast,2022-01-18,Positive
CpV8X8DHk2VqWo11CEde-w,2KS0GISEQFu8ulqQfVDhMg,great place highly recommend so good i had the pide beef and it wa so delicious,2022-01-17,Positive
1b5mnK8bMnnju_cvU65GqQ,3AWA4lLJJESedTxP1begWQ,they advertise theyre open daily i wa just there this sunday and they were closed,2022-01-17,Positive
h2nBTqJVHAyltyeq7sZZ-w,sUrT_xogg96e_0ZaNdgYRw,amazing food great service will be back,2022-01-17,Positive
vl40Oa75v42jvJsHwpCGKA,bOW8VA_BwmTcf3gLAnJnmg,love the bird here always fresh snd amazing drink are fresh and way nice service,2022-01-16,Positive
4YoVUmkpUBNtdYa804Wzvg,tS-PtEoaYvvRqtwEIUlkBQ,the drink are great very high quality the vibe are moody and dark,2022-01-16,Positive
PzMB_Tj6eXZ2Tv_La7kNuA,58Gl2z8MyczwErOQetKvIw,first class all the guy here take great care of you,2022-01-15,Positive
2T4ZRPmweknjxdBfvHU3vg,4Ud7BEVlvwyjJkYgxOLbkA,need better menue for people to enjoy it or have heater inside the restaurant,2022-01-15,Positive
8ASzjS3ITg5bQSyObsCx5w,A-u6JVoKBih1MJiyObN9YA,fire,2022-01-15,Negative
G0glQr3Ygr5CGcACepWDSw,O-SfR6-C7vvjcgWjFzOocA,good food great price and fast service,2022-01-15,Positive
k8hFz4Gty5dHlDV4Wt8FqA,u4tDSpmgjrrzVrQ7-B5NxA,best biscuit and gravy in town you highly recommend fire,2022-01-15,Positive
aQFQIlyHasaTz5DtjV57nQ,OEAhczAXW2IU9-3wy5t5yA,not a safe place for muslim,2022-01-14,Negative
Mwc3n5Psw9wRaQ22vZWDYQ,h4o3qwmY6g9pHuq5nUCjOQ,highly recommend great atmosphere amazing food,2022-01-13,Positive
j8JOZvfeHEfUWq3gEz6ABQ,dI51UP0AgSRgKOuxbvmvtA,,2022-01-12,Positive
ttsN5I9Vc5PBuqf-6m3f8g,wvRcuu6rLn-y3sZ_i-rCEw,great service,2022-01-12,Positive
LM54ufrINJWoTN5imV8Etw,cvBKjSR9ccdkFNcvFnlygA,there is very little they do wrong here other than close too early,2022-01-12,Negative
zcPCPkaTp46iJxwMv0LjVw,WnSqExisEekLj4V26Wx5rA,deeeeelicious,2022-01-12,Positive
q_PFmdGcKx2H7z2ze8H26w,DOu9cb-JXEQm73jlww12lA,great food thanks star,2022-01-11,Positive
L5LLN0RafiV1Z9cddzvuCw,IQMP7AuWwtkiVQ7My6yWSg,over hyped and over priced,2022-01-11,Positive
p8ao29A31ijNwDXuAxQxjA,zUk_Ww2q1At1QSyRbUjIGQ,best meatball ive ever had moist tasty and big wowee,2022-01-10,Positive
SJIQFKTW6uUsOo29w9IHxw,pY4krsSqtnYMeYyFVHPvWg,excellent,2022-01-10,Positive
YbEVMCXzbcibj2a11Yzg1g,iKx4W8gMhtvzASc3v1smGQ,will be back,2022-01-09,Positive
K-GDGw99i_mM-lcyMYon1g,lM2Kx7n238AMvPDQqFGIfg,they have the best sandwich always,2022-01-09,Positive
q2iS794-52tFAC2ScQFTug,XfjgPtfNszYgtHIqQ1LCaw,,2022-01-09,Positive
IxX6YczoeBpdt78AzDS4GQ,P8SmVXe3WBnpAauMi_ttEw,sexy fry,2022-01-08,Positive
q_PFmdGcKx2H7z2ze8H26w,pOJI0PHQqyFMqp-Awzul_w,the food here is expensive but worth every dollar,2022-01-08,Positive
FaY_9x8ZtsuHe5wS2iJM1Q,tdW8-vlIlIZEaFMLGAlwjw,great food great atmosphere,2022-01-08,Positive
jbJTF1zVmZsk4hea8hoeVA,6KoVLQHQNq17t4Jh1fsHEA,lousy food and service,2022-01-07,Negative
TcNZXteosegb1RO4O5hREw,-6VqDKCIU1LAujyPhory5w,great food always good never disappoint,2022-01-07,Positive
5Fs604P6wfdVNy9jt8kc5Q,8wzfaCmG59dqUrpLm_bswQ,simply the best everything made to perfection cant go wrong hot cold,2022-01-06,Positive
GtwG8Kxgu_8nCdA8SiHKLw,0nh1GcQhRp67QNVgTjrTFQ,great barber shop cool vibe and really good barber,2022-01-05,Positive
1b5mnK8bMnnju_cvU65GqQ,TILX-LHrLrVdj-ttUVMg1Q,no vegan option,2022-01-04,Positive
_KlEMZvay1c9xYctKFtN-w,TKctMMgsBAm-_YsT1WhHMw,by far the tastiest pho in reno,2022-01-03,Positive
QN38TkkGzF5vB1urbvi5nQ,xxmBKU7r4WeIim-ZgB1U8w,happy staff great food and bakery give them a try you wont be disappointed,2022-01-03,Positive
VAeEXLbEcI9Emt9KGYq9aA,U9elSCVTOP9eRHItkJfuTQ,i had a mimosa and the pharmacy burger both were amazing,2022-01-02,Positive
ew_Hhp12Silh3qjoPaW9IA,6PyEr65USAvQNnqLSE_Jzg,expensive super dry food tom yum soup wa weird,2022-01-01,Positive
_C7QiQQc47AOEv4PE3Kong,jkslbUQJK5ag9biCR1E92A,one of the essential top new orleans restaurant,2021-12-31,Positive
AFYI0sfZ6WdVELjjEYOIpw,YyO1PWMg7sKSsirACeGXxg,packed and minimal food option with hour long line,2021-12-31,Positive
Iv3xPoN_PE_09HdSnL5oEQ,pNHgOKq1IVIyvwPO2QEXcw,dont go gross,2021-12-31,Positive
JWqbjm0wtbbciu_Gb6Eqyw,Bdn_LNIemO4dMcSp0DDPWQ,great vibe great staff great pint,2021-12-31,Positive
XgnArX8m2BaGtpJp5Mx2qg,9N2HcR5HYP9S3Ao54Db6xg,this place ha the best pad thai it so good highly recommend,2021-12-31,Positive
kRvZUnDK3Rn7a7WvGUZ6QQ,Jtef4MrUU4nfrjuNKWoRhw,great food never disappoints,2021-12-31,Positive
mVjKb4-y9VPWp38CBim4sg,v4fmcc4ZBHxnxSZGy4oT2g,they dont open until pm each day app told me at pm they were open,2021-12-30,Positive
X8hwEPRoRcLjbKVlVt1b1g,TPehYkNbkKmaeGUvR4Xa0w,full of wonderful thing for you and the little one to do,2021-12-30,Positive
j8JOZvfeHEfUWq3gEz6ABQ,ZgEVZ7cOVmWBHInhGnxOTQ,came for live music but it wa one guy playing a harmonica okay,2021-12-30,Positive
9PZxjhTIU7OgPIzuGi89Ew,GQgH--hxKJisGmfsKj0xDA,very loud and open if near door you will freeze every time it open good drink,2021-12-29,Positive
4SRl5od0lY33oK1GMbA23A,jm2Muipt7DTonvJJJMIlMg,good food bartender talk too much though,2021-12-29,Positive
ghsaIqQ1xY3cWtWWJ4QW5w,_ypUUn_-G9Spn0t_OfSw0Q,always a great experience,2021-12-28,Positive
IxX6YczoeBpdt78AzDS4GQ,JoIC6doxypQBP9-YQYMKPQ,i love this place great price for an amazing meal great,2021-12-28,Positive
oBNrLz4EDhiscSlbOl8uAw,ZcuQfZ4619ba_RCVVUQOog,great poached egg and even better service,2021-12-28,Positive
AFYI0sfZ6WdVELjjEYOIpw,H5ENEYnCkAVv94i32-fq5Q,bring food only one restaurant open and you have to wait in line for three hour to get a nasty soggy pizza,2021-12-28,Negative
J0joPXxmN-_9Lzafspqdbw,Fz09EgV7ssrMWmTbjA1uXA,very fast service larger portion delicious thank you,2021-12-27,Positive
SJIQFKTW6uUsOo29w9IHxw,fVJVxSASm5RaHE7V7idvlA,delicious food with fast friendly service,2021-12-27,Positive
N1GYsCd5QAchGOCeQ37J9g,EJ9x_Rv_UPAC0KvMJ7lMfw,beautiful park most amazing park in the city,2021-12-25,Positive
Eb1XmmLWyt_way5NNZ7-Pw,uB61MiqCg_VV9wzDtCK7Gg,second time visiting nola visiting friend,2021-12-23,Positive
jGgUfiMg0_a6ehbz_ucDkQ,efoFHUP08msKW73LPkZxWA,when navigating do not type in the restaurant it will take you to chick filum type in easton rd or friendly on horsham,2021-12-21,Positive
DorCmYVDR5wcCVvbCAvzEg,PYKeJftnZSqJJ4TvsqTrAg,some of the best southern cooked food ever and the service wa great,2021-12-19,Positive
sHwNZLuLZvlVBX17b7RgTw,pK3Xy-Ss2JYVPxBF-JIkbg,freshest gyro in st louis,2021-12-19,Positive
_UB-8QKlvKVstiy-AF0Yeg,k5LdONRIZLJpkkJ-xtOXyg,restroom are to the right a you enter the front,2021-12-18,Positive
7Vy1FHvdD22nzEB6zfaUFQ,yKcJ0bRJGcmVGFvXPoc-tQ,our food wa good and josh our server wa great will ask for his table next time,2021-12-18,Positive
gGmqCZtOAUUqWLUJiL-Ydg,ynJP_ofD_nIJks0XhN1YxA,please try their tomato soup,2021-12-17,Positive
foFpx3znhLJvnplex8aqww,vvEdfna1kRqffdP2OaGL1w,excellent food absolutely delicious enjoyable environment staff is very friendly,2021-12-16,Positive
8ASzjS3ITg5bQSyObsCx5w,A-u6JVoKBih1MJiyObN9YA,,2021-12-16,Positive
XrikSy0DQ_fhVCaRRBJI-g,zJunJ19gTp-ncrjvy6o1zQ,i have been here many time and the food is always great and so is the service,2021-12-16,Positive
8HP8_kW6xroh5jCkh4uigA,iy9urkV2Jw9wr6PE8BsyoQ,you must try hot pot dish in this restaurant,2021-12-14,Positive
_C7QiQQc47AOEv4PE3Kong,HmFJCvUeFVCDBWsLreiftw,never been and not interested in the high priced cuisine,2021-12-14,Negative
QrNIfXs-krBk8ZEsGh4gHw,JE472SCEPg4H1p6dNLwYpA,ordered a really good turkey hoagie meatball sub good fry too,2021-12-14,Positive
Zx7n8mdt8OzLRXVzolXNhQ,9wWtoU2mQCGu2C-E1kTrVg,great place,2021-12-13,Positive
atZ_olNKXOG4rEr6mccN8g,7PmVpxl416hSW0qmj--s8Q,amazing,2021-12-13,Positive
wjGmBfeFrh71764EQcZzxg,qwy2GXpkHahlXCbkBNO2MA,enough of a dance floor that you can have a good time,2021-12-13,Positive
9f5GXEeTvBWnrZ-AHEjgJQ,onjBhQPYhl-eXtZpQLhIpA,unbelievable great food and definitely would recommended,2021-12-13,Positive
ykrD-GI7pQpU_rHlHnEeag,dFP9zzkoNq11T5BGXvmKGQ,so nice on the inside drink people vibe,2021-12-12,Positive
5DDPX5QQS43uACR1MiCVPA,Ldy0ftLeiGyzCK6ry5Ybyw,we had so much fun terry wa a blast,2021-12-12,Positive
iMqoAux5nfccxIZMHj3dIw,sOPnro0HGGjRCP6_PPT8OA,food wa great service wa lacking,2021-12-12,Positive
b6qRWQWf1bEA7wcRwNLu0g,3ZcX6qJ94Fb5FY6eXup8ow,best pizza and wing in cherry hill,2021-12-11,Positive
gsy3nze2K5cSH9H6rOkTgQ,67NC97zuKDTQxujIJ3V1iA,there is no better donut glazed cash only,2021-12-11,Positive
J0joPXxmN-_9Lzafspqdbw,ydkWiBxkn56QHweI9Gkzkg,nom nom,2021-12-11,Positive
6uDjRpAfvKIEWuI1auLpkg,Uob526Oekb88lrYuuE2c8w,great pizza such friendly people,2021-12-11,Positive
K1ABvJZtgcdYHyH83fkFRA,Tjnn-Y5fIX0yz-kvyA6nfg,immaculate a always,2021-12-10,Positive
_HO5ubZyfVKVWytSDZy1tA,MMJnW3UTLIGu21o-fbIO6g,awesome food,2021-12-10,Positive
5zOYg50gWuLkg7vfxjDsEw,S_VUtqoT9eHYrcb4qTVdIw,wing are market price due to increase,2021-12-09,Positive
k8hFz4Gty5dHlDV4Wt8FqA,zKJhu8S77lLbau4g63_1kg,love this place irish coffee grit biscuit whats not to like,2021-12-09,Positive
1b5mnK8bMnnju_cvU65GqQ,JCHeQ2ejWMYF3Qe5XolAMA,everything wa delicious will definitely come back again,2021-12-09,Positive
eDqPBPit4nCy_qLEE6AA9A,Vkx_4mYpeHxAPY6vkfrWog,i like everything here,2021-12-09,Positive
_C7QiQQc47AOEv4PE3Kong,tyS-sIqi0FB4bxT9PTFE9w,amazing service from alec and the entire crew food wa delicious,2021-12-09,Positive
kxOR-Z62MnMUlCZWQmd2iQ,s65GxENmUDajPRrB5ln1YQ,nice place for drink and tapa,2021-12-08,Positive
JWqbjm0wtbbciu_Gb6Eqyw,_n7uMdkur8tvkMXdd8WX2Q,really nice venue friendly people and great service,2021-12-08,Positive
aQFQIlyHasaTz5DtjV57nQ,r54Nxxs5PCZ4yY0ZXla_Uw,great burger yummy whiskey drink,2021-12-06,Positive
iRIHK8-EwpeffwvoO4nzIA,War1tFKBLaubCOdV5LJp9w,hand down the best creole seafood in town,2021-12-06,Positive
U2kET_H4MlI7PBa-Y0t_9g,QLTW9kEeHbMI8q4Cp4CwLA,employee were unable to inform u that by the time that our would be ready the store would be closed sand to just come the next day in advance they were rude when we had with traffic just to get back and pick them up would not go to this location go to berry hill,2021-12-05,Positive
CSZmpx5iQsXAl7Pkt4WNlw,EOrSV3XJQ6yRNjZZ_up4pA,best torta birra ive had great sandwich,2021-12-05,Positive
CSZmpx5iQsXAl7Pkt4WNlw,4mdGsSYnFTJbpov06h2p2Q,good help and good food,2021-12-05,Positive
mrM5DyEz2jjI5DpuPvM_aw,Bkeotb0pYtN4Hcyr4qQZ6Q,a little pricey but quick and nice technician,2021-12-05,Positive
TcNZXteosegb1RO4O5hREw,ZxmxiqvJEe6_mFUe3H-NOQ,food is amazing it can take a while but is worth the wait,2021-12-05,Positive
r8ER_x1HAfJ5RBLkcGtilw,FJHAZYy1O0bPe8lWhOXQhA,always great food very friendly staff and fast service love this hidden gem,2021-12-04,Positive
yY3kq6_2m1FyY9MgaiHgoQ,0WHGarjw11O7o24P3y3NSA,best bbq shrimp ive had so far,2021-12-04,Positive
PWGcA2s9sf4iMb4dcLz6Hg,78DKI-9QXr4HwLxC33Gcww,i love the brisket,2021-12-04,Positive
_ab50qdWOk0DdB6XOrBitw,6Hyh7g2rSInxsZYIEhmMzw,great crabcakes,2021-12-04,Positive
jEAqMCGw3ocephZJFsl-qw,UYHYcdROArIBs7UfFF_1ow,so good kid love it too,2021-12-04,Positive
w520vYWEpEYBf90rSr9NVA,EKFU76CrLTBo8NdqqgBJOw,the food and service is excellent,2021-12-03,Positive
jyFIMQV67um9Mz_tNjHZ3g,6in43u94EwpVEXYYkgEBlw,delicious,2021-12-03,Positive
