words,tf,business_id
noodle,172.0,zRjUMHQJ5gAmFhcXZtLacA
dish,181.0,zRjUMHQJ5gAmFhcXZtLacA
vietnam,201.0,zRjUMHQJ5gAmFhcXZtLacA
spring,216.0,zRjUMHQJ5gAmFhcXZtLacA
good,268.0,zRjUMHQJ5gAmFhcXZtLacA
vietnamese,277.0,zRjUMHQJ5gAmFhcXZtLacA
restaurant,285.0,zRjUMHQJ5gAmFhcXZtLacA
roll,292.0,zRjUMHQJ5gAmFhcXZtLacA
place,300.0,zRjUMHQJ5gAmFhcXZtLacA
food,344.0,zRjUMHQJ5gAmFhcXZtLacA
service,133.0,zGtHhmjmZV-ZTTVw5QlTKg
best,135.0,zGtHhmjmZV-ZTTVw5QlTKg
food,164.0,zGtHhmjmZV-ZTTVw5QlTKg
fresh,167.0,zGtHhmjmZV-ZTTVw5QlTKg
good,178.0,zGtHhmjmZV-ZTTVw5QlTKg
great,194.0,zGtHhmjmZV-ZTTVw5QlTKg
ken,201.0,zGtHhmjmZV-ZTTVw5QlTKg
place,296.0,zGtHhmjmZV-ZTTVw5QlTKg
roll,378.0,zGtHhmjmZV-ZTTVw5QlTKg
sushi,639.0,zGtHhmjmZV-ZTTVw5QlTKg
time,235.0,zFcE7bQ2oDfwpPgl_PxOTA
oyster,293.0,zFcE7bQ2oDfwpPgl_PxOTA
place,313.0,zFcE7bQ2oDfwpPgl_PxOTA
brunch,327.0,zFcE7bQ2oDfwpPgl_PxOTA
restaurant,338.0,zFcE7bQ2oDfwpPgl_PxOTA
service,372.0,zFcE7bQ2oDfwpPgl_PxOTA
good,376.0,zFcE7bQ2oDfwpPgl_PxOTA
view,377.0,zFcE7bQ2oDfwpPgl_PxOTA
great,390.0,zFcE7bQ2oDfwpPgl_PxOTA
food,545.0,zFcE7bQ2oDfwpPgl_PxOTA
restaurant,130.0,zCELc_Vqc0EbnTwbkpUIEA
wonton,133.0,zCELc_Vqc0EbnTwbkpUIEA
noodle,136.0,zCELc_Vqc0EbnTwbkpUIEA
peking,153.0,zCELc_Vqc0EbnTwbkpUIEA
chinese,182.0,zCELc_Vqc0EbnTwbkpUIEA
soup,208.0,zCELc_Vqc0EbnTwbkpUIEA
good,213.0,zCELc_Vqc0EbnTwbkpUIEA
place,236.0,zCELc_Vqc0EbnTwbkpUIEA
food,288.0,zCELc_Vqc0EbnTwbkpUIEA
duck,334.0,zCELc_Vqc0EbnTwbkpUIEA
time,161.0,z680Aylt8wN2KAeFM1hy-A
soccer,163.0,z680Aylt8wN2KAeFM1hy-A
get,174.0,z680Aylt8wN2KAeFM1hy-A
bar,194.0,z680Aylt8wN2KAeFM1hy-A
beer,238.0,z680Aylt8wN2KAeFM1hy-A
wing,248.0,z680Aylt8wN2KAeFM1hy-A
great,300.0,z680Aylt8wN2KAeFM1hy-A
place,314.0,z680Aylt8wN2KAeFM1hy-A
good,326.0,z680Aylt8wN2KAeFM1hy-A
food,348.0,z680Aylt8wN2KAeFM1hy-A
salad,56.0,z5BLSMc92pwbGEqeaUPmDg
bar,67.0,z5BLSMc92pwbGEqeaUPmDg
wing,71.0,z5BLSMc92pwbGEqeaUPmDg
service,81.0,z5BLSMc92pwbGEqeaUPmDg
sybergs,82.0,z5BLSMc92pwbGEqeaUPmDg
time,84.0,z5BLSMc92pwbGEqeaUPmDg
place,85.0,z5BLSMc92pwbGEqeaUPmDg
good,92.0,z5BLSMc92pwbGEqeaUPmDg
great,114.0,z5BLSMc92pwbGEqeaUPmDg
food,159.0,z5BLSMc92pwbGEqeaUPmDg
art,199.0,z2FRDJSxRR3mmC9syR25xA
replica,212.0,z2FRDJSxRR3mmC9syR25xA
place,217.0,z2FRDJSxRR3mmC9syR25xA
inside,245.0,z2FRDJSxRR3mmC9syR25xA
statue,259.0,z2FRDJSxRR3mmC9syR25xA
see,268.0,z2FRDJSxRR3mmC9syR25xA
athena,272.0,z2FRDJSxRR3mmC9syR25xA
park,279.0,z2FRDJSxRR3mmC9syR25xA
nashville,352.0,z2FRDJSxRR3mmC9syR25xA
parthenon,521.0,z2FRDJSxRR3mmC9syR25xA
ordered,113.0,yy3XR0wu1K4BTAdQjRoc0w
server,117.0,yy3XR0wu1K4BTAdQjRoc0w
time,139.0,yy3XR0wu1K4BTAdQjRoc0w
restaurant,141.0,yy3XR0wu1K4BTAdQjRoc0w
place,151.0,yy3XR0wu1K4BTAdQjRoc0w
service,154.0,yy3XR0wu1K4BTAdQjRoc0w
back,155.0,yy3XR0wu1K4BTAdQjRoc0w
great,201.0,yy3XR0wu1K4BTAdQjRoc0w
good,228.0,yy3XR0wu1K4BTAdQjRoc0w
food,312.0,yy3XR0wu1K4BTAdQjRoc0w
dont,26.0,ywcy56lRPyv6lx05w8Zr7g
many,26.0,ywcy56lRPyv6lx05w8Zr7g
people,28.0,ywcy56lRPyv6lx05w8Zr7g
like,30.0,ywcy56lRPyv6lx05w8Zr7g
one,30.0,ywcy56lRPyv6lx05w8Zr7g
place,44.0,ywcy56lRPyv6lx05w8Zr7g
country,48.0,ywcy56lRPyv6lx05w8Zr7g
music,65.0,ywcy56lRPyv6lx05w8Zr7g
city,79.0,ywcy56lRPyv6lx05w8Zr7g
nashville,97.0,ywcy56lRPyv6lx05w8Zr7g
really,44.0,yuNf6vYaIZYe88g6pouAiA
always,45.0,yuNf6vYaIZYe88g6pouAiA
like,48.0,yuNf6vYaIZYe88g6pouAiA
wing,50.0,yuNf6vYaIZYe88g6pouAiA
time,51.0,yuNf6vYaIZYe88g6pouAiA
place,66.0,yuNf6vYaIZYe88g6pouAiA
good,81.0,yuNf6vYaIZYe88g6pouAiA
great,87.0,yuNf6vYaIZYe88g6pouAiA
food,104.0,yuNf6vYaIZYe88g6pouAiA
pub,108.0,yuNf6vYaIZYe88g6pouAiA
nashville,136.0,ykrD-GI7pQpU_rHlHnEeag
fun,151.0,ykrD-GI7pQpU_rHlHnEeag
get,156.0,ykrD-GI7pQpU_rHlHnEeag
taco,161.0,ykrD-GI7pQpU_rHlHnEeag
food,184.0,ykrD-GI7pQpU_rHlHnEeag
beer,246.0,ykrD-GI7pQpU_rHlHnEeag
tasting,273.0,ykrD-GI7pQpU_rHlHnEeag
place,285.0,ykrD-GI7pQpU_rHlHnEeag
great,292.0,ykrD-GI7pQpU_rHlHnEeag
moonshine,359.0,ykrD-GI7pQpU_rHlHnEeag
time,78.0,yY3kq6_2m1FyY9MgaiHgoQ
new,82.0,yY3kq6_2m1FyY9MgaiHgoQ
restaurant,85.0,yY3kq6_2m1FyY9MgaiHgoQ
service,92.0,yY3kq6_2m1FyY9MgaiHgoQ
fried,100.0,yY3kq6_2m1FyY9MgaiHgoQ
great,116.0,yY3kq6_2m1FyY9MgaiHgoQ
shrimp,120.0,yY3kq6_2m1FyY9MgaiHgoQ
place,147.0,yY3kq6_2m1FyY9MgaiHgoQ
good,152.0,yY3kq6_2m1FyY9MgaiHgoQ
food,159.0,yY3kq6_2m1FyY9MgaiHgoQ
get,4.0,yW30OR2kDxPTvDRsFztjkg
stage,5.0,yW30OR2kDxPTvDRsFztjkg
around,5.0,yW30OR2kDxPTvDRsFztjkg
wasnt,5.0,yW30OR2kDxPTvDRsFztjkg
woman,5.0,yW30OR2kDxPTvDRsFztjkg
like,5.0,yW30OR2kDxPTvDRsFztjkg
im,6.0,yW30OR2kDxPTvDRsFztjkg
money,7.0,yW30OR2kDxPTvDRsFztjkg
club,9.0,yW30OR2kDxPTvDRsFztjkg
girl,17.0,yW30OR2kDxPTvDRsFztjkg
like,36.0,ySIkWUgh8ZZSfZUL4RGi1Q
place,36.0,ySIkWUgh8ZZSfZUL4RGi1Q
great,38.0,ySIkWUgh8ZZSfZUL4RGi1Q
bakery,39.0,ySIkWUgh8ZZSfZUL4RGi1Q
yeast,39.0,ySIkWUgh8ZZSfZUL4RGi1Q
get,56.0,ySIkWUgh8ZZSfZUL4RGi1Q
line,57.0,ySIkWUgh8ZZSfZUL4RGi1Q
best,59.0,ySIkWUgh8ZZSfZUL4RGi1Q
tims,96.0,ySIkWUgh8ZZSfZUL4RGi1Q
donut,239.0,ySIkWUgh8ZZSfZUL4RGi1Q
u,84.0,yMeC2ltA33lJ-nBIQP4sJQ
italian,87.0,yMeC2ltA33lJ-nBIQP4sJQ
special,99.0,yMeC2ltA33lJ-nBIQP4sJQ
time,101.0,yMeC2ltA33lJ-nBIQP4sJQ
place,110.0,yMeC2ltA33lJ-nBIQP4sJQ
service,120.0,yMeC2ltA33lJ-nBIQP4sJQ
great,131.0,yMeC2ltA33lJ-nBIQP4sJQ
restaurant,131.0,yMeC2ltA33lJ-nBIQP4sJQ
good,151.0,yMeC2ltA33lJ-nBIQP4sJQ
food,173.0,yMeC2ltA33lJ-nBIQP4sJQ
camp,6.0,yJkQP1Q5BP6TF6RShRSGpQ
kid,6.0,yJkQP1Q5BP6TF6RShRSGpQ
play,6.0,yJkQP1Q5BP6TF6RShRSGpQ
nct,6.0,yJkQP1Q5BP6TF6RShRSGpQ
theater,7.0,yJkQP1Q5BP6TF6RShRSGpQ
little,7.0,yJkQP1Q5BP6TF6RShRSGpQ
great,7.0,yJkQP1Q5BP6TF6RShRSGpQ
nashville,8.0,yJkQP1Q5BP6TF6RShRSGpQ
one,9.0,yJkQP1Q5BP6TF6RShRSGpQ
show,11.0,yJkQP1Q5BP6TF6RShRSGpQ
ashburner,33.0,y3LlrItb8nrzMYYiqQee3g
nice,34.0,y3LlrItb8nrzMYYiqQee3g
back,39.0,y3LlrItb8nrzMYYiqQee3g
place,47.0,y3LlrItb8nrzMYYiqQee3g
time,49.0,y3LlrItb8nrzMYYiqQee3g
pizza,49.0,y3LlrItb8nrzMYYiqQee3g
bar,50.0,y3LlrItb8nrzMYYiqQee3g
great,57.0,y3LlrItb8nrzMYYiqQee3g
food,60.0,y3LlrItb8nrzMYYiqQee3g
good,68.0,y3LlrItb8nrzMYYiqQee3g
one,13.0,y36XZm0UU-L0rpIfWI1nGQ
friendly,13.0,y36XZm0UU-L0rpIfWI1nGQ
get,13.0,y36XZm0UU-L0rpIfWI1nGQ
helpful,14.0,y36XZm0UU-L0rpIfWI1nGQ
return,15.0,y36XZm0UU-L0rpIfWI1nGQ
package,17.0,y36XZm0UU-L0rpIfWI1nGQ
location,18.0,y36XZm0UU-L0rpIfWI1nGQ
service,20.0,y36XZm0UU-L0rpIfWI1nGQ
store,25.0,y36XZm0UU-L0rpIfWI1nGQ
ups,32.0,y36XZm0UU-L0rpIfWI1nGQ
area,8.0,y0VRvppXbL66FuG7ygCyoQ
little,9.0,y0VRvppXbL66FuG7ygCyoQ
get,10.0,y0VRvppXbL66FuG7ygCyoQ
side,10.0,y0VRvppXbL66FuG7ygCyoQ
like,11.0,y0VRvppXbL66FuG7ygCyoQ
meat,11.0,y0VRvppXbL66FuG7ygCyoQ
spanish,13.0,y0VRvppXbL66FuG7ygCyoQ
rice,14.0,y0VRvppXbL66FuG7ygCyoQ
good,16.0,y0VRvppXbL66FuG7ygCyoQ
food,40.0,y0VRvppXbL66FuG7ygCyoQ
order,274.0,xwjUyOwIQuFNaBCxhedwLA
edleys,289.0,xwjUyOwIQuFNaBCxhedwLA
nashville,323.0,xwjUyOwIQuFNaBCxhedwLA
great,358.0,xwjUyOwIQuFNaBCxhedwLA
side,370.0,xwjUyOwIQuFNaBCxhedwLA
place,391.0,xwjUyOwIQuFNaBCxhedwLA
brisket,392.0,xwjUyOwIQuFNaBCxhedwLA
good,541.0,xwjUyOwIQuFNaBCxhedwLA
food,558.0,xwjUyOwIQuFNaBCxhedwLA
bbq,613.0,xwjUyOwIQuFNaBCxhedwLA
lot,68.0,xsbAV-wtWiZTSRxJd3vsDw
one,69.0,xsbAV-wtWiZTSRxJd3vsDw
hill,69.0,xsbAV-wtWiZTSRxJd3vsDw
cherry,69.0,xsbAV-wtWiZTSRxJd3vsDw
court,74.0,xsbAV-wtWiZTSRxJd3vsDw
like,75.0,xsbAV-wtWiZTSRxJd3vsDw
parking,81.0,xsbAV-wtWiZTSRxJd3vsDw
food,96.0,xsbAV-wtWiZTSRxJd3vsDw
store,233.0,xsbAV-wtWiZTSRxJd3vsDw
mall,427.0,xsbAV-wtWiZTSRxJd3vsDw
time,151.0,xkWhyrBL0i_P8YdXGJ2iUg
history,211.0,xkWhyrBL0i_P8YdXGJ2iUg
u,226.0,xkWhyrBL0i_P8YdXGJ2iUg
city,243.0,xkWhyrBL0i_P8YdXGJ2iUg
guide,252.0,xkWhyrBL0i_P8YdXGJ2iUg
great,253.0,xkWhyrBL0i_P8YdXGJ2iUg
bike,282.0,xkWhyrBL0i_P8YdXGJ2iUg
orleans,293.0,xkWhyrBL0i_P8YdXGJ2iUg
new,315.0,xkWhyrBL0i_P8YdXGJ2iUg
tour,1008.0,xkWhyrBL0i_P8YdXGJ2iUg
place,26.0,xVFNGIsWBTcYmKB85HH6Qg
see,27.0,xVFNGIsWBTcYmKB85HH6Qg
guide,29.0,xVFNGIsWBTcYmKB85HH6Qg
one,30.0,xVFNGIsWBTcYmKB85HH6Qg
fonthill,30.0,xVFNGIsWBTcYmKB85HH6Qg
room,39.0,xVFNGIsWBTcYmKB85HH6Qg
mercer,46.0,xVFNGIsWBTcYmKB85HH6Qg
tile,51.0,xVFNGIsWBTcYmKB85HH6Qg
castle,74.0,xVFNGIsWBTcYmKB85HH6Qg
tour,97.0,xVFNGIsWBTcYmKB85HH6Qg
bed,119.0,xTCSNzu7387VHOPO7DkEzA
service,125.0,xTCSNzu7387VHOPO7DkEzA
staff,141.0,xTCSNzu7387VHOPO7DkEzA
stay,142.0,xTCSNzu7387VHOPO7DkEzA
nice,152.0,xTCSNzu7387VHOPO7DkEzA
location,162.0,xTCSNzu7387VHOPO7DkEzA
city,174.0,xTCSNzu7387VHOPO7DkEzA
great,186.0,xTCSNzu7387VHOPO7DkEzA
hotel,445.0,xTCSNzu7387VHOPO7DkEzA
room,493.0,xTCSNzu7387VHOPO7DkEzA
would,14.0,xKwvKCWm7CYDCyNCy6YCUQ
also,14.0,xKwvKCWm7CYDCyNCy6YCUQ
hour,15.0,xKwvKCWm7CYDCyNCy6YCUQ
book,16.0,xKwvKCWm7CYDCyNCy6YCUQ
study,16.0,xKwvKCWm7CYDCyNCy6YCUQ
parking,18.0,xKwvKCWm7CYDCyNCy6YCUQ
area,18.0,xKwvKCWm7CYDCyNCy6YCUQ
place,19.0,xKwvKCWm7CYDCyNCy6YCUQ
lot,19.0,xKwvKCWm7CYDCyNCy6YCUQ
library,57.0,xKwvKCWm7CYDCyNCy6YCUQ
like,136.0,xBPg6gzunjpEUT6FiRrpog
nashville,137.0,xBPg6gzunjpEUT6FiRrpog
breakfast,153.0,xBPg6gzunjpEUT6FiRrpog
good,162.0,xBPg6gzunjpEUT6FiRrpog
chicken,163.0,xBPg6gzunjpEUT6FiRrpog
great,179.0,xBPg6gzunjpEUT6FiRrpog
place,254.0,xBPg6gzunjpEUT6FiRrpog
big,361.0,xBPg6gzunjpEUT6FiRrpog
food,371.0,xBPg6gzunjpEUT6FiRrpog
al,506.0,xBPg6gzunjpEUT6FiRrpog
arcade,20.0,x3jikfTwa_5dZK4M9eFY-w
get,20.0,x3jikfTwa_5dZK4M9eFY-w
food,21.0,x3jikfTwa_5dZK4M9eFY-w
play,22.0,x3jikfTwa_5dZK4M9eFY-w
area,23.0,x3jikfTwa_5dZK4M9eFY-w
great,27.0,x3jikfTwa_5dZK4M9eFY-w
party,32.0,x3jikfTwa_5dZK4M9eFY-w
place,36.0,x3jikfTwa_5dZK4M9eFY-w
game,52.0,x3jikfTwa_5dZK4M9eFY-w
kid,59.0,x3jikfTwa_5dZK4M9eFY-w
busy,9.0,x2ILIoH7NLPHuYKSItNPTw
thru,9.0,x2ILIoH7NLPHuYKSItNPTw
order,10.0,x2ILIoH7NLPHuYKSItNPTw
time,11.0,x2ILIoH7NLPHuYKSItNPTw
one,13.0,x2ILIoH7NLPHuYKSItNPTw
drink,13.0,x2ILIoH7NLPHuYKSItNPTw
drive,13.0,x2ILIoH7NLPHuYKSItNPTw
coffee,15.0,x2ILIoH7NLPHuYKSItNPTw
get,18.0,x2ILIoH7NLPHuYKSItNPTw
starbucks,25.0,x2ILIoH7NLPHuYKSItNPTw
time,24.0,wqpzxTiOwH4NKwr7Ruy9Kg
sandwich,26.0,wqpzxTiOwH4NKwr7Ruy9Kg
fast,26.0,wqpzxTiOwH4NKwr7Ruy9Kg
great,27.0,wqpzxTiOwH4NKwr7Ruy9Kg
chicken,30.0,wqpzxTiOwH4NKwr7Ruy9Kg
service,33.0,wqpzxTiOwH4NKwr7Ruy9Kg
chickfila,37.0,wqpzxTiOwH4NKwr7Ruy9Kg
order,39.0,wqpzxTiOwH4NKwr7Ruy9Kg
always,45.0,wqpzxTiOwH4NKwr7Ruy9Kg
food,63.0,wqpzxTiOwH4NKwr7Ruy9Kg
studio,9.0,wpYhwcAn4zp2p15NUm6UcA
night,10.0,wpYhwcAn4zp2p15NUm6UcA
back,11.0,wpYhwcAn4zp2p15NUm6UcA
staff,12.0,wpYhwcAn4zp2p15NUm6UcA
time,13.0,wpYhwcAn4zp2p15NUm6UcA
get,13.0,wpYhwcAn4zp2p15NUm6UcA
brushfire,13.0,wpYhwcAn4zp2p15NUm6UcA
great,14.0,wpYhwcAn4zp2p15NUm6UcA
pottery,15.0,wpYhwcAn4zp2p15NUm6UcA
piece,21.0,wpYhwcAn4zp2p15NUm6UcA
item,94.0,wo9kN5iSlUNG6HIH7OLurw
get,100.0,wo9kN5iSlUNG6HIH7OLurw
always,103.0,wo9kN5iSlUNG6HIH7OLurw
great,103.0,wo9kN5iSlUNG6HIH7OLurw
like,106.0,wo9kN5iSlUNG6HIH7OLurw
food,128.0,wo9kN5iSlUNG6HIH7OLurw
love,160.0,wo9kN5iSlUNG6HIH7OLurw
store,176.0,wo9kN5iSlUNG6HIH7OLurw
joes,211.0,wo9kN5iSlUNG6HIH7OLurw
trader,215.0,wo9kN5iSlUNG6HIH7OLurw
sauce,311.0,wm5mQ4cSpvko9WlCq07RFw
el,320.0,wm5mQ4cSpvko9WlCq07RFw
get,321.0,wm5mQ4cSpvko9WlCq07RFw
burrito,324.0,wm5mQ4cSpvko9WlCq07RFw
great,480.0,wm5mQ4cSpvko9WlCq07RFw
good,521.0,wm5mQ4cSpvko9WlCq07RFw
taco,604.0,wm5mQ4cSpvko9WlCq07RFw
mexican,656.0,wm5mQ4cSpvko9WlCq07RFw
place,706.0,wm5mQ4cSpvko9WlCq07RFw
food,1074.0,wm5mQ4cSpvko9WlCq07RFw
drink,230.0,wjZwXKDiFBQXlO8-TjQTXA
shrimp,242.0,wjZwXKDiFBQXlO8-TjQTXA
great,252.0,wjZwXKDiFBQXlO8-TjQTXA
service,258.0,wjZwXKDiFBQXlO8-TjQTXA
bar,266.0,wjZwXKDiFBQXlO8-TjQTXA
new,272.0,wjZwXKDiFBQXlO8-TjQTXA
place,309.0,wjZwXKDiFBQXlO8-TjQTXA
restaurant,317.0,wjZwXKDiFBQXlO8-TjQTXA
good,346.0,wjZwXKDiFBQXlO8-TjQTXA
food,426.0,wjZwXKDiFBQXlO8-TjQTXA
fiddle,49.0,wjGmBfeFrh71764EQcZzxg
second,50.0,wjGmBfeFrh71764EQcZzxg
drink,51.0,wjGmBfeFrh71764EQcZzxg
good,57.0,wjGmBfeFrh71764EQcZzxg
nashville,59.0,wjGmBfeFrh71764EQcZzxg
band,71.0,wjGmBfeFrh71764EQcZzxg
music,76.0,wjGmBfeFrh71764EQcZzxg
great,82.0,wjGmBfeFrh71764EQcZzxg
place,83.0,wjGmBfeFrh71764EQcZzxg
bar,109.0,wjGmBfeFrh71764EQcZzxg
service,152.0,wazRghDjVEiSzTt9WXCPOA
cheese,154.0,wazRghDjVEiSzTt9WXCPOA
time,155.0,wazRghDjVEiSzTt9WXCPOA
fried,166.0,wazRghDjVEiSzTt9WXCPOA
green,186.0,wazRghDjVEiSzTt9WXCPOA
great,189.0,wazRghDjVEiSzTt9WXCPOA
chicken,254.0,wazRghDjVEiSzTt9WXCPOA
good,296.0,wazRghDjVEiSzTt9WXCPOA
place,351.0,wazRghDjVEiSzTt9WXCPOA
food,470.0,wazRghDjVEiSzTt9WXCPOA
ordered,26.0,w_OFnYUfP201HjxvgGKf-A
back,27.0,w_OFnYUfP201HjxvgGKf-A
pat,29.0,w_OFnYUfP201HjxvgGKf-A
get,31.0,w_OFnYUfP201HjxvgGKf-A
time,37.0,w_OFnYUfP201HjxvgGKf-A
place,41.0,w_OFnYUfP201HjxvgGKf-A
good,42.0,w_OFnYUfP201HjxvgGKf-A
food,44.0,w_OFnYUfP201HjxvgGKf-A
order,64.0,w_OFnYUfP201HjxvgGKf-A
pizza,68.0,w_OFnYUfP201HjxvgGKf-A
get,3.0,wYkH0leEO12XKnVz3VtfiQ
great,3.0,wYkH0leEO12XKnVz3VtfiQ
made,3.0,wYkH0leEO12XKnVz3VtfiQ
got,3.0,wYkH0leEO12XKnVz3VtfiQ
food,3.0,wYkH0leEO12XKnVz3VtfiQ
ordering,4.0,wYkH0leEO12XKnVz3VtfiQ
always,4.0,wYkH0leEO12XKnVz3VtfiQ
go,4.0,wYkH0leEO12XKnVz3VtfiQ
order,4.0,wYkH0leEO12XKnVz3VtfiQ
wawa,5.0,wYkH0leEO12XKnVz3VtfiQ
well,103.0,wMyHVb54Ne9SNasa4kjOCg
place,103.0,wMyHVb54Ne9SNasa4kjOCg
got,105.0,wMyHVb54Ne9SNasa4kjOCg
carnivore,120.0,wMyHVb54Ne9SNasa4kjOCg
back,131.0,wMyHVb54Ne9SNasa4kjOCg
service,132.0,wMyHVb54Ne9SNasa4kjOCg
food,171.0,wMyHVb54Ne9SNasa4kjOCg
good,199.0,wMyHVb54Ne9SNasa4kjOCg
great,214.0,wMyHVb54Ne9SNasa4kjOCg
steak,241.0,wMyHVb54Ne9SNasa4kjOCg
cream,25.0,wMti5VLmoqnEce1VQILUNg
good,25.0,wMti5VLmoqnEce1VQILUNg
owner,25.0,wMti5VLmoqnEce1VQILUNg
like,26.0,wMti5VLmoqnEce1VQILUNg
great,27.0,wMti5VLmoqnEce1VQILUNg
coconut,29.0,wMti5VLmoqnEce1VQILUNg
ale,33.0,wMti5VLmoqnEce1VQILUNg
place,33.0,wMti5VLmoqnEce1VQILUNg
brewery,55.0,wMti5VLmoqnEce1VQILUNg
beer,104.0,wMti5VLmoqnEce1VQILUNg
time,135.0,wHiPhPVuGnngEieDBMG00g
beer,137.0,wHiPhPVuGnngEieDBMG00g
mellow,153.0,wHiPhPVuGnngEieDBMG00g
food,167.0,wHiPhPVuGnngEieDBMG00g
service,168.0,wHiPhPVuGnngEieDBMG00g
mushroom,189.0,wHiPhPVuGnngEieDBMG00g
good,214.0,wHiPhPVuGnngEieDBMG00g
place,220.0,wHiPhPVuGnngEieDBMG00g
great,241.0,wHiPhPVuGnngEieDBMG00g
pizza,682.0,wHiPhPVuGnngEieDBMG00g
location,26.0,wD-dPZMlF59K2Z7mnhvPYg
like,26.0,wD-dPZMlF59K2Z7mnhvPYg
delicious,28.0,wD-dPZMlF59K2Z7mnhvPYg
breakfast,29.0,wD-dPZMlF59K2Z7mnhvPYg
good,29.0,wD-dPZMlF59K2Z7mnhvPYg
great,29.0,wD-dPZMlF59K2Z7mnhvPYg
service,39.0,wD-dPZMlF59K2Z7mnhvPYg
watch,41.0,wD-dPZMlF59K2Z7mnhvPYg
food,46.0,wD-dPZMlF59K2Z7mnhvPYg
first,52.0,wD-dPZMlF59K2Z7mnhvPYg
like,239.0,w520vYWEpEYBf90rSr9NVA
great,241.0,w520vYWEpEYBf90rSr9NVA
